,U_DPTO,U_MPIO,DomesticViolenceCases,Population,Municipio,Departamento,CasesPer1000Habitants
0,5,1,56399,2359801.0,Medellin,Antioquia,23.89989664382717
1,5,2,93,17573.0,Abejorral,Antioquia,5.292209639788312
2,5,4,4,2141.0,Abriaqui,Antioquia,1.8682858477347033
3,5,21,54,3826.0,Alejandria,Antioquia,14.113957135389441
4,5,30,258,26687.0,Amaga,Antioquia,9.667628433319592
5,5,31,188,20141.0,Amalfi,Antioquia,9.334193932773944
6,5,34,651,37027.0,Andes,Antioquia,17.58176465822238
7,5,36,105,5013.0,Angelopolis,Antioquia,20.94554159186116
8,5,38,102,10500.0,Angostura,Antioquia,9.714285714285714
9,5,40,119,14477.0,Anori,Antioquia,8.21993506942046
10,5,42,252,22966.0,Antioquia,Antioquia,10.972742314726117
11,5,44,44,6386.0,Anza,Antioquia,6.890072032571249
12,5,45,2090,112396.0,Apartado,Antioquia,18.594967792448127
13,5,51,119,26279.0,Arboletes,Antioquia,4.52833060618745
14,5,55,37,6733.0,Argelia,Antioquia,5.49532155057181
15,5,59,61,3817.0,Armenia,Antioquia,15.981137018600995
16,5,79,901,44621.0,Barbosa,Antioquia,20.192286143295757
17,5,86,26,5349.0,Belmira,Antioquia,4.860721630211255
18,5,88,6820,477660.0,Bello,Antioquia,14.277938282460328
19,5,91,139,8589.0,Betania,Antioquia,16.183490511118876
20,5,93,174,15069.0,Betulia,Antioquia,11.546884332072468
21,5,101,223,23086.0,Bolivar,Antioquia,9.659533916659448
22,5,107,56,5946.0,Briceño,Antioquia,9.418096199125461
23,5,113,28,7368.0,Buritica,Antioquia,3.800217155266015
24,5,120,95,26120.0,Caceres,Antioquia,3.637059724349158
25,5,125,34,7015.0,Caicedo,Antioquia,4.846756949394155
26,5,129,1372,75971.0,Caldas,Antioquia,18.059522712614026
27,5,134,73,7402.0,Campamento,Antioquia,9.862199405566063
28,5,138,45,13562.0,Cañasgordas,Antioquia,3.3180946763014303
29,5,142,25,3955.0,Caracoli,Antioquia,6.321112515802781
30,5,145,18,4269.0,Caramanta,Antioquia,4.2164441321152495
31,5,147,376,45300.0,Carepa,Antioquia,8.300220750551876
32,5,148,498,53606.0,Carmen de viboral,Antioquia,9.290004850203335
33,5,150,45,3320.0,Carolina,Antioquia,13.55421686746988
34,5,154,992,84459.0,Caucasia,Antioquia,11.745343894670787
35,5,172,546,55558.0,Chigorodo,Antioquia,9.827567587026172
36,5,190,147,8891.0,Cisneros,Antioquia,16.533573276346868
37,5,197,201,14703.0,Cocorna,Antioquia,13.670679453172822
38,5,206,44,3901.0,Concepcion,Antioquia,11.279159189951296
39,5,209,241,16063.0,Concordia,Antioquia,15.003424017929403
40,5,212,1403,76078.0,Copacabana,Antioquia,18.44159941113068
41,5,234,70,22678.0,Dabeiba,Antioquia,3.0866919481435753
42,5,237,174,14163.0,Don matias,Antioquia,12.28553272611735
43,5,240,74,10323.0,Ebejico,Antioquia,7.168458781362007
44,5,250,172,47549.0,El bagre,Antioquia,3.617321079307662
45,5,264,56,8779.0,Entrerrios,Antioquia,6.378858639936211
46,5,266,3324,211558.0,Envigado,Antioquia,15.712003327692642
47,5,282,289,18744.0,Fredonia,Antioquia,15.41826717883056
48,5,284,114,20111.0,Frontino,Antioquia,5.668539605191189
49,5,306,19,5057.0,Giraldo,Antioquia,3.7571682815898755
50,5,308,666,48310.0,Girardota,Antioquia,13.785965638584145
51,5,310,88,8212.0,Gomez plata,Antioquia,10.71602532878714
52,5,313,64,9203.0,Granada,Antioquia,6.954254047593176
53,5,315,36,5452.0,Guadalupe,Antioquia,6.603081438004402
54,5,318,379,42034.0,Guarne,Antioquia,9.016510443926345
55,5,321,64,6998.0,Guatape,Antioquia,9.145470134324093
56,5,347,42,4709.0,Heliconia,Antioquia,8.91909110214483
57,5,353,94,4950.0,Hispania,Antioquia,18.98989898989899
58,5,360,4884,261576.0,Itagui,Antioquia,18.671437746582257
59,5,361,102,18443.0,Ituango,Antioquia,5.530553597570894
60,5,364,70,13453.0,Jardin,Antioquia,5.203300379097599
61,5,368,153,11046.0,Jerico,Antioquia,13.851167843563282
62,5,376,235,58787.0,La ceja,Antioquia,3.9974824365931245
63,5,380,975,67002.0,La estrella,Antioquia,14.551804423748544
64,5,390,87,7974.0,La pintada,Antioquia,10.9104589917231
65,5,400,169,20738.0,La union,Antioquia,8.149291156331373
66,5,411,39,7902.0,Liborina,Antioquia,4.935459377372816
67,5,425,55,7292.0,Maceo,Antioquia,7.542512342292923
68,5,440,210,55225.0,Marinilla,Antioquia,3.8026256224535993
69,5,467,33,5881.0,Montebello,Antioquia,5.611290596837273
70,5,475,8,4642.0,Murindo,Antioquia,1.7233950883239983
71,5,480,117,12602.0,Mutata,Antioquia,9.284240596730678
72,5,483,91,8599.0,Nariño,Antioquia,10.582625886731016
73,5,490,219,38420.0,Necocli,Antioquia,5.700156168662155
74,5,495,43,24030.0,Nechi,Antioquia,1.7894298793175198
75,5,501,19,2719.0,Olaya,Antioquia,6.987863184994484
76,5,541,71,17996.0,Peñol,Antioquia,3.9453211824849967
77,5,543,11,7141.0,Peque,Antioquia,1.540400504131074
78,5,576,76,7202.0,Pueblorrico,Antioquia,10.552624271035825
79,5,579,750,35791.0,Puerto berrio,Antioquia,20.95498868430611
80,5,585,107,12127.0,Puerto nare (la magdalena),Antioquia,8.823286880514555
81,5,591,159,15490.0,Puerto triunfo,Antioquia,10.26468689477082
82,5,604,206,22519.0,Remedios,Antioquia,9.147830720724722
83,5,607,128,20568.0,Retiro,Antioquia,6.223259432127577
84,5,615,1231,114851.0,Rionegro,Antioquia,10.718234930475138
85,5,628,19,7813.0,Sabanalarga,Antioquia,2.4318443619608345
86,5,631,992,81630.0,Sabaneta,Antioquia,12.152394952835968
87,5,642,131,15729.0,Salgar,Antioquia,8.328565070888168
88,5,647,76,6295.0,San andres,Antioquia,12.073073868149326
89,5,649,102,14373.0,San carlos,Antioquia,7.09663953245669
90,5,652,20,5223.0,San francisco,Antioquia,3.8292169251388093
91,5,656,58,13133.0,San jeronimo,Antioquia,4.416355745069672
92,5,658,24,2952.0,San jose de la montaña,Antioquia,8.130081300813009
93,5,659,60,19992.0,San juan de uraba,Antioquia,3.001200480192077
94,5,660,88,11099.0,San luis,Antioquia,7.928642220019821
95,5,664,348,17020.0,San pedro,Antioquia,20.44653349001175
96,5,665,93,30064.0,San pedro de uraba,Antioquia,3.093400745077169
97,5,667,81,12557.0,San rafael,Antioquia,6.450585330891137
98,5,670,122,17750.0,San roque,Antioquia,6.873239436619718
99,5,674,173,17987.0,San vicente,Antioquia,9.618057485962083
100,5,679,170,21836.0,Santa barbara,Antioquia,7.785308664590584
101,5,686,261,30350.0,Santa rosa de osos,Antioquia,8.599670510708401
102,5,690,72,9520.0,Santo domingo,Antioquia,7.563025210084033
103,5,697,241,30255.0,Santuario,Antioquia,7.965625516443564
104,5,736,310,33310.0,Segovia,Antioquia,9.306514560192134
105,5,756,245,31598.0,Sonson,Antioquia,7.753655294638901
106,5,761,77,13709.0,Sopetran,Antioquia,5.616748121671894
107,5,789,97,14814.0,Tamesis,Antioquia,6.547860132307277
108,5,790,132,22729.0,Taraza,Antioquia,5.807558625544458
109,5,792,76,5646.0,Tarso,Antioquia,13.460857244066597
110,5,809,101,8179.0,Titiribi,Antioquia,12.348697884826995
111,5,819,29,4922.0,Toledo,Antioquia,5.891913856156035
112,5,837,1111,114212.0,Turbo,Antioquia,9.727524253143276
113,5,842,17,6523.0,Uramita,Antioquia,2.6061628085236856
114,5,847,161,28860.0,Urrao,Antioquia,5.578655578655578
115,5,854,53,11511.0,Valdivia,Antioquia,4.604291547215706
116,5,856,28,5414.0,Valparaiso,Antioquia,5.171776874769117
117,5,858,71,11134.0,Vegachi,Antioquia,6.376863660858631
118,5,861,141,10221.0,Venecia,Antioquia,13.795127678309363
119,5,873,17,8126.0,Vigia del fuerte,Antioquia,2.092050209205021
120,5,885,49,6234.0,Yali,Antioquia,7.8601219120949635
121,5,887,385,35842.0,Yarumal,Antioquia,10.741588081022265
122,5,890,96,18915.0,Yolombo,Antioquia,5.075337034099921
123,5,893,202,17493.0,Yondo,Antioquia,11.547476133310468
124,5,895,158,24052.0,Zaragoza,Antioquia,6.569100282720772
