,U_DPTO,U_MPIO,HA_TOT_PER,Municipio,Departamento
0,5,1,2359801.0,Medellin,Antioquia
1,5,2,17573.0,Abejorral,Antioquia
2,5,4,2141.0,Abriaqui,Antioquia
3,5,21,3826.0,Alejandria,Antioquia
4,5,30,26687.0,Amaga,Antioquia
5,5,31,20141.0,Amalfi,Antioquia
6,5,34,37027.0,Andes,Antioquia
7,5,36,5013.0,Angelopolis,Antioquia
8,5,38,10500.0,Angostura,Antioquia
9,5,40,14477.0,Anori,Antioquia
10,5,42,22966.0,Antioquia,Antioquia
11,5,44,6386.0,Anza,Antioquia
12,5,45,112396.0,Apartado,Antioquia
13,5,51,26279.0,Arboletes,Antioquia
14,5,55,6733.0,Argelia,Antioquia
15,5,59,3817.0,Armenia,Antioquia
16,5,79,44621.0,Barbosa,Antioquia
17,5,86,5349.0,Belmira,Antioquia
18,5,88,477660.0,Bello,Antioquia
19,5,91,8589.0,Betania,Antioquia
20,5,93,15069.0,Betulia,Antioquia
21,5,101,23086.0,Bolivar,Antioquia
22,5,107,5946.0,Briceño,Antioquia
23,5,113,7368.0,Buritica,Antioquia
24,5,120,26120.0,Caceres,Antioquia
25,5,125,7015.0,Caicedo,Antioquia
26,5,129,75971.0,Caldas,Antioquia
27,5,134,7402.0,Campamento,Antioquia
28,5,138,13562.0,Cañasgordas,Antioquia
29,5,142,3955.0,Caracoli,Antioquia
30,5,145,4269.0,Caramanta,Antioquia
31,5,147,45300.0,Carepa,Antioquia
32,5,148,53606.0,Carmen de viboral,Antioquia
33,5,150,3320.0,Carolina,Antioquia
34,5,154,84459.0,Caucasia,Antioquia
35,5,172,55558.0,Chigorodo,Antioquia
36,5,190,8891.0,Cisneros,Antioquia
37,5,197,14703.0,Cocorna,Antioquia
38,5,206,3901.0,Concepcion,Antioquia
39,5,209,16063.0,Concordia,Antioquia
40,5,212,76078.0,Copacabana,Antioquia
41,5,234,22678.0,Dabeiba,Antioquia
42,5,237,14163.0,Don matias,Antioquia
43,5,240,10323.0,Ebejico,Antioquia
44,5,250,47549.0,El bagre,Antioquia
45,5,264,8779.0,Entrerrios,Antioquia
46,5,266,211558.0,Envigado,Antioquia
47,5,282,18744.0,Fredonia,Antioquia
48,5,284,20111.0,Frontino,Antioquia
49,5,306,5057.0,Giraldo,Antioquia
50,5,308,48310.0,Girardota,Antioquia
51,5,310,8212.0,Gomez plata,Antioquia
52,5,313,9203.0,Granada,Antioquia
53,5,315,5452.0,Guadalupe,Antioquia
54,5,318,42034.0,Guarne,Antioquia
55,5,321,6998.0,Guatape,Antioquia
56,5,347,4709.0,Heliconia,Antioquia
57,5,353,4950.0,Hispania,Antioquia
58,5,360,261576.0,Itagui,Antioquia
59,5,361,18443.0,Ituango,Antioquia
60,5,364,13453.0,Jardin,Antioquia
61,5,368,11046.0,Jerico,Antioquia
62,5,376,58787.0,La ceja,Antioquia
63,5,380,67002.0,La estrella,Antioquia
64,5,390,7974.0,La pintada,Antioquia
65,5,400,20738.0,La union,Antioquia
66,5,411,7902.0,Liborina,Antioquia
67,5,425,7292.0,Maceo,Antioquia
68,5,440,55225.0,Marinilla,Antioquia
69,5,467,5881.0,Montebello,Antioquia
70,5,475,4642.0,Murindo,Antioquia
71,5,480,12602.0,Mutata,Antioquia
72,5,483,8599.0,Nariño,Antioquia
73,5,490,38420.0,Necocli,Antioquia
74,5,495,24030.0,Nechi,Antioquia
75,5,501,2719.0,Olaya,Antioquia
76,5,541,17996.0,Peñol,Antioquia
77,5,543,7141.0,Peque,Antioquia
78,5,576,7202.0,Pueblorrico,Antioquia
79,5,579,35791.0,Puerto berrio,Antioquia
80,5,585,12127.0,Puerto nare (la magdalena),Antioquia
81,5,591,15490.0,Puerto triunfo,Antioquia
82,5,604,22519.0,Remedios,Antioquia
83,5,607,20568.0,Retiro,Antioquia
84,5,615,114851.0,Rionegro,Antioquia
85,5,628,7813.0,Sabanalarga,Antioquia
86,5,631,81630.0,Sabaneta,Antioquia
87,5,642,15729.0,Salgar,Antioquia
88,5,647,6295.0,San andres,Antioquia
89,5,649,14373.0,San carlos,Antioquia
90,5,652,5223.0,San francisco,Antioquia
91,5,656,13133.0,San jeronimo,Antioquia
92,5,658,2952.0,San jose de la montaña,Antioquia
93,5,659,19992.0,San juan de uraba,Antioquia
94,5,660,11099.0,San luis,Antioquia
95,5,664,17020.0,San pedro,Antioquia
96,5,665,30064.0,San pedro de uraba,Antioquia
97,5,667,12557.0,San rafael,Antioquia
98,5,670,17750.0,San roque,Antioquia
99,5,674,17987.0,San vicente,Antioquia
100,5,679,21836.0,Santa barbara,Antioquia
101,5,686,30350.0,Santa rosa de osos,Antioquia
102,5,690,9520.0,Santo domingo,Antioquia
103,5,697,30255.0,Santuario,Antioquia
104,5,736,33310.0,Segovia,Antioquia
105,5,756,31598.0,Sonson,Antioquia
106,5,761,13709.0,Sopetran,Antioquia
107,5,789,14814.0,Tamesis,Antioquia
108,5,790,22729.0,Taraza,Antioquia
109,5,792,5646.0,Tarso,Antioquia
110,5,809,8179.0,Titiribi,Antioquia
111,5,819,4922.0,Toledo,Antioquia
112,5,837,114212.0,Turbo,Antioquia
